sku_id,store_id,department,category,product_name,size,color,unit_cost,retail_price,inventory_count,reorder_point,warehouse_id,last_received_date,last_sold_date,seasonal_flag,last_updated
BTY-FRG-003012,TXDAL-001,BTY,FRG,Floral Eau De Parfum Spray,3.4oz,N/A,28.00,85.00,63,15,WH-CENTRAL-01,2026-03-04,2026-03-08,N,2026-03-08
BTY-HAR-004345,ILDCH-001,BTY,HAR,Keratin Repair Shampoo Conditioner Set,N/A,N/A,6.50,18.99,342,55,WH-CENTRAL-01,2026-03-07,2026-03-10,N,2026-03-10
BTY-SKN-005678,FLMIA-001,BTY,SKN,Retinol Night Cream Anti Aging,1.7oz,N/A,22.00,62.00,97,20,WH-EAST-01,2026-03-03,2026-03-07,N,2026-03-07
BTY-MKP-006901,WASET-001,BTY,MKP,Eyeshadow Palette Twelve Colors,N/A,N/A,8.00,28.00,156,30,WH-WEST-01,2026-03-06,2026-03-10,Y,2026-03-10
BTY-LIP-007234,NYNYC-002,BTY,LIP,Matte Lipstick Duo Set,N/A,Rose,5.00,14.50,420,70,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
SHO-HEL-001567,NYNYC-001,SHO,HEL,Patent Leather Stiletto Pumps,8,Black,65.00,168.00,46,12,WH-EAST-01,2026-03-04,2026-03-09,N,2026-03-09
SHO-SNK-002890,CASFO-002,SHO,SNK,Mens Retro Running Sneakers,10.5,White,55.00,139.00,83,20,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
SHO-BTS-003123,TXDAL-001,SHO,BTS,Waterproof Leather Hiking Boots,9,Brown,78.00,195.00,31,10,WH-CENTRAL-01,2026-03-03,2026-03-07,N,2026-03-07
SHO-FLT-004456,ILDCH-001,SHO,FLT,Ballet Flats Pointed Toe,7,Nude,32.00,79.00,109,20,WH-CENTRAL-01,2026-03-05,2026-03-10,N,2026-03-10
SHO-SDL-005789,FLMIA-001,SHO,SDL,Strappy Block Heel Sandals,6.5,Gold,40.00,98.00,62,15,WH-EAST-01,2026-03-07,2026-03-10,Y,2026-03-10
SHO-LFR-006012,GAATL-001,SHO,LFR,Italian Leather Penny Loafers,11,Cognac,95.00,265.00,14,8,WH-EAST-01,2026-03-02,2026-03-06,N,2026-03-06
SHO-BTS-007345,WASET-001,SHO,BTS,Chelsea Ankle Boots Suede,8.5,Taupe,68.00,175.00,3,10,WH-WEST-01,2026-03-04,2026-03-08,Y,2026-03-08
ACC-BAG-001678,NYNYC-001,ACC,BAG,Quilted Leather Crossbody Bag,N/A,Black,45.00,128.00,76,15,WH-EAST-01,2026-03-05,2026-03-09,N,2026-03-09
ACC-JWL-002901,CASFO-002,ACC,JWL,Gold Plated Layered Necklace Set,N/A,Gold,18.00,52.00,198,35,WH-WEST-01,2026-03-06,2026-03-10,N,2026-03-10
ACC-SCF-003234,TXDAL-001,ACC,SCF,Cashmere Blend Winter Scarf,N/A,Gray,28.00,75.00,45,12,WH-CENTRAL-01,2026-03-03,2026-03-07,Y,2026-03-07
ACC-BLT-004567,ILDCH-001,ACC,BLT,Italian Leather Reversible Belt,34,Black Brown,22.00,58.00,134,25,WH-CENTRAL-01,2026-03-04,2026-03-09,N,2026-03-09
ACC-HAT-005890,FLMIA-001,ACC,HAT,Wide Brim Straw Sun Hat,N/A,Natural,12.00,34.00,87,20,WH-EAST-01,2026-03-07,2026-03-10,Y,2026-03-10
ACC-WLT-006123,WASET-001,ACC,WLT,Pebbled Leather Zip Wallet,N/A,Burgundy,35.00,95.00,53,15,WH-WEST-01,2026-03-05,2026-03-09,N,2026-03-09
ACC-SNG-007456,GAATL-001,ACC,SNG,Polarized Aviator Sunglasses,N/A,Gunmetal,42.00,125.00,2,10,WH-EAST-01,2026-03-02,2026-03-06,N,2026-03-06
ACC-WCH-008789,NYNYC-002,ACC,WCH,Classic Stainless Steel Watch,N/A,Silver,68.00,189.00,28,8,WH-EAST-01,2026-03-06,2026-03-10,N,2026-03-10
WMN-ACT-009012,CASLA-001,WMN,ACT,High Waist Yoga Leggings,S,Black,15.00,48.00,215,40,WH-WEST-01,2026-03-07,2026-03-10,N,2026-03-10
MEN-ACT-009345,CASLA-001,MEN,ACT,Moisture Wicking Training Shorts,L,Gray,12.00,34.99,178,30,WH-WEST-01,2026-03-06,2026-03-09,N,2026-03-09
HOM-ART-009678,MABOS-001,HOM,ART,Abstract Canvas Wall Art Set,N/A,Multicolor,48.00,129.00,19,8,WH-EAST-01,2026-03-04,2026-03-08,N,2026-03-08
BTY-NLS-009901,MABOS-001,BTY,NLS,Gel Nail Polish Starter Kit,N/A,N/A,10.00,32.00,145,25,WH-EAST-01,2026-03-05,2026-03-09,Y,2026-03-09
SHO-SNK-010234,CASLA-001,SHO,SNK,Womens Memory Foam Slip On,7,White,25.00,65.00,0,15,WH-WEST-01,2026-03-03,2026-03-06,N,2026-03-06
KID-SWM-010567,FLMIA-001,KID,SWM,Girls One Piece Swimsuit Ruffle,8,Tropical,11.00,28.00,58,20,WH-EAST-01,2026-03-07,2026-03-10,Y,2026-03-10
